"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"Additional antianginal and anti-ischemic efficacy of mibefradil in patients pretreated with a beta blocker for chronic stable angina pectoris.","North America",1997,0,0,0,1,0,"blinded","1990s",5.32787616878958,"pharmacological",1
"A randomized, placebo-controlled trial of late Na current inhibition (ranolazine) in coronary microvascular dysfunction (CMD): impact on angina and myocardial perfusion reserve.","North America",2016,0,1,0,0,0,"blinded","2010-2026",4.96284463025991,"pharmacological",0
"Efficacy of intermittent (eight hours off) transdermal nitrate therapy in stable angina.","Europe",1994,1,0,0,1,0,"blinded","1990s",3.85014760171006,"pharmacological",1
"[Metrological analysis for efficacy of acupuncture on angina pectoris].","Asia",1993,0,0,0,1,0,"blinded","1990s",2.77258872223978,"other",1
"Percutaneous coronary intervention in stable angina (ORBITA): a double-blind, randomised controlled trial.","Europe",2018,0,0,0,1,0,"blinded","2010-2026",5.30330490805908,"interventional",1
"Long-term safety and efficacy of ivabradine in patients with chronic stable angina.","Europe",2007,1,0,0,0,0,"blinded","2000s",5.95842469302978,"pharmacological",0
"Penbutolol and molsidomine synergism in angina pectoris. A double blind ergometric trial.","South America",1984,0,0,0,1,0,"blinded","1980s",3.43398720448515,"pharmacological",1
"A controlled trial with a novel anti-ischemic agent, ranolazine, in chronic stable angina pectoris that is responsive to conventional antianginal agents. Ranolazine Study Group.","North America",1999,0,0,0,1,0,"blinded","1990s",5.74620319054015,"pharmacological",1
"Lack of rebound during intermittent transdermal treatment with glyceryl trinitrate in patients with stable angina on background beta blocker.","Europe",1993,0,0,0,1,0,"blinded","1990s",2.70805020110221,"pharmacological",1
"Mid-term results of combined transmyocardial laser revascularization and coronary artery bypass.","Europe",2003,0,0,1,1,0,"blinded","2000s",3.04452243772342,"interventional",1
"Antianginal and anti-ischemic efficacy of nicorandil in comparison with isosorbide-5-mononitrate and isosorbide dinitrate: results from two multicenter, double-blind, randomized studies with stable coronary heart disease patients.","Europe",1992,1,0,0,1,0,"blinded","1990s",4.67282883446191,"pharmacological",1
"Adding the new calcium antagonist mibefradil to patients receiving long-term beta-blocker therapy results in improved antianginal and antiischemic efficacy.","Asia",1998,0,0,0,1,0,"blinded","1990s",4.56434819146784,"pharmacological",1
"Acupuncture in angina pectoris: does acupuncture have a specific effect?","Europe",1991,1,0,0,1,0,"blinded","1990s",3.52636052461616,"other",1
"Double-blind, multicenter, active-controlled, randomized clinical trial to assess the safety and efficacy of orally administered nicorandil in patients with stable angina pectoris in China.","Asia",2007,0,0,0,1,0,"blinded","2000s",5.52146091786225,"pharmacological",1
"[Beta-blockader, pindolol, in the therapy of angina pectoris; a report on a multicentric controlled study].","Europe",1979,1,0,0,0,0,"blinded","1970s",4.23410650459726,"pharmacological",0
"Double-blind, dose-response, placebo-controlled multicenter study of nisoldipine. A new second-generation calcium channel blocker in angina pectoris.","North America",1991,0,0,0,1,0,"blinded","1990s",5.2257466737132,"pharmacological",1
"A new water-soluble, selective beta-blocker with intrinsic sympathomimetic activity (ICI 141.292) in angina pectoris.","Europe",1988,0,0,0,1,0,"blinded","1980s",2.484906649788,"pharmacological",1
"[A new anti-ischemic drug for the treatment of stable effort angina pectoris: nicorandil. Comparison with placebo and isosorbide-5-mononitrate].","Europe",1991,0,0,0,1,0,"blinded","1990s",2.94443897916644,"pharmacological",1
"Antianginal efficiency of nifedipine with and without a beta-blocker, studied with exercise test. A double-blind, randomized subacute study.","Europe",1979,1,0,0,1,0,"blinded","1970s",3.09104245335832,"pharmacological",1
